szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
Hat_1	5	5	Gold|20				高冠博带·二	获得5件头饰外装
Hat_1	10	10	Gold|30				高冠博带·三	获得10件头饰外装
Hat_1	20	20	Gold|50				高冠博带·四	获得20件头饰外装
Hat_1	30	30	Gold|100				高冠博带·五	获得30件头饰外装
Horse_1	1	3	Gold|30				奇珍异兽·一	获得1件坐骑外装
Horse_1	3	5	Gold|20				奇珍异兽·二	获得3件坐骑外装
Horse_1	5	10	Gold|30				奇珍异兽·三	获得5件坐骑外装
Horse_1	7	20	Gold|50				奇珍异兽·四	获得7件坐骑外装
Horse_1	9	30	Gold|100				奇珍异兽·五	获得9件坐骑外装
Charm_1	500	10	Gold|10		1		有点姿色	魅力值达到500
Charm_1	2000	20	Gold|30;Item|6990|1		1		如花似玉	魅力值达到2000
Charm_1	5000	30	Gold|50;Item|6991|1		1		绝色美人	魅力值达到5000
Charm_1	20000	50	Gold|100;Item|6992|1		1		倾国倾城	魅力值达到20000
Charm_1	100000	100	Gold|300;item|9687|1		1		人见人爱	魅力值达到100000
CommerceTask_1	1	3	Gold|5				牛刀小试	完成一个商会任务
CommerceTask_2	1	3	Gold|10				帮帮我吧	成功寻求一次家族成员的帮助
CommerceTask_3	1	5	Gold|10				顺利完成	完成1轮商会任务
CommerceTask_3	10	10	Gold|20				行商熟手	完成10轮商会任务
CommerceTask_3	100	20	Gold|50;item|9688|1		1		商行天下	完成100轮商会任务
JuanZhou_1	1	5	Gold|10				商会委托	完成一个卷轴任务
JuanZhou_3	20	10	Gold|30				商会常客	累计完成20个卷轴任务
JuanZhou_3	100	20	Gold|50				商会好手	累计完成100个卷轴任务
JuanZhou_3	400	50	Gold|100;item|9689|1				商会密友	累计完成400个卷轴任务
JuanZhou_2	1	10	Gold|20				商会重托·一	完成一个蓝色或以上卷轴任务
JuanZhou_4	1	20	Gold|30				商会重托·二	完成一个紫色卷轴任务
JuanZhou_5	1	30	Gold|50				商会重托·三	完成一个粉色卷轴任务
MoneyTree_1	1	3	Gold|5				摇钱树	使用摇钱树1次
MoneyTree_1	10	5	Gold|10				钱如雨下	使用摇钱树10次
MoneyTree_1	50	10	Gold|20				招财进宝	使用摇钱树50次
MoneyTree_1	200	20	Gold|30;item|9690|1				财源广进	使用摇钱树200次
MoneyTree_1	1000	50	Gold|50;item|9691|1		1		财神降临	使用摇钱树1000次
MoneyTree_2	1	10	Gold|20				两倍暴击	使用摇钱树时获得两倍暴击
MoneyTree_10	1	10	Gold|20				十倍暴击	使用摇钱树时获得十倍暴击
TheBox_1	1	3	Gold|5				黄金宝箱	打开1个黄金宝箱
TheBox_1	10	5	Gold|10				宝箱宝箱	打开10个黄金宝箱
TheBox_1	50	10	Gold|30				再开一个	打开50个黄金宝箱
TheBox_1	300	20	Gold|50;item|9692|1				宝箱爱好者	打开300个黄金宝箱
TheBox_1	1000	50	Gold|100;item|9693|1		1		宝箱的信仰	打开1000个黄金宝箱
Angry_Normal	1	3	Gold|5				我怒了	释放1次怒气技能
BlackList	1	3	Gold|5				我讨厌你	拉黑1个玩家
FirstAuctionDeal_2	1	5	Gold|20				宝贝竞拍	成功从拍卖行中拍到一件物品
FirstAuctionDeal_4	1	10	Gold|20				我要定了	一口价拍到一件物品
Market_Buy	1	10	Gold|20				小摊淘宝	成功从摆摊中买到一件物品
Market_Sell	1	10	Gold|20				物尽其用	成功在摆摊中卖出一件物品
SearchFuben_1	1	3	Gold|5				宝藏探索	开始第1次宝藏探索
ActDealerItems_1	1	3	Gold|5				奇珍异宝	在西域行商活动中拍到一件物品
ActDealerItems_1000	1	5	Gold|10				一掷千金·一	单次西域行商活动中花费1000黎饰
ActDealerItems_2000	1	10	Gold|20				一掷千金·二	单次西域行商活动中花费2000黎饰
ActDealerItems_5000	1	20	Gold|50				一掷千金·三	单次西域行商活动中花费5000黎饰
ActDealerItems_10000	1	50	Gold|75				一掷千金·四	单次西域行商活动中花费10000黎饰
ActDealerItems_20000	1	100	Gold|100;item|11314|1				一掷千金·五	单次西域行商活动中花费20000黎饰
Mystic_SixSixSIx	1	100	Gold|100		1		六六大顺	家族烤火后掷骰子掷到三个六
Mystic_Make14	1	100	Gold|100		1		来之不易	单个装备连续打造14次才打出稀有装备
Mystic_8Fire	1	100	Gold|100		1		火神祝融	在修炼状态下受到八堆篝火经验加成
Mystic_MostIntimate	1	100	Gold|100		1		绝对亲密	同另一个玩家同时是夫妻、好友、师徒、结拜关系，并且同家族
Mystic_100Friend	1	100	Gold|200		1		天下谁人不识君	与100个好友亲密度达到10级以上
Mystic_10Teachers	10	100	Gold|100		1		所学驳杂	累计拜师不同玩家10次
Mystic_10CareerWin	10	100	Gold|500;item|9576|1		1		样样精通	心魔幻境中累计用10个不同的职业均拿到优胜
Mystic_50InHouse	1	100	Gold|100;item|9834|1		1		高朋满座	同时超过50个其他玩家出现在自己的家园
Mystic_AllBoss	1	100	Gold|100		1		白虎堂之主	一次白虎堂活动中每层都击杀boss
Mystic_10InHouse	1	100	Gold|100		1		连挑数将	一次历代名将中攻击超过10个不同的名将
Mystic_General	1	100	Gold|100		1		原始暴怒	山贼秘窟中开启全部机关
Mystic_SeriesKiller1	100	100	Gold|100		1		金之克制者	在心魔幻境/绝地中击杀金系角色100个
Mystic_SeriesKiller2	100	100	Gold|100		1		木之克制者	在心魔幻境/绝地中击杀木系角色100个
Mystic_SeriesKiller3	100	100	Gold|100		1		水之克制者	在心魔幻境/绝地中击杀水系角色100个
Mystic_SeriesKiller4	100	100	Gold|100		1		火之克制者	在心魔幻境/绝地中击杀火系角色100个
Mystic_SeriesKiller5	100	100	Gold|100		1		土之克制者	在心魔幻境/绝地中击杀土系角色100个
Mystic_ZhenYuan5Skill	1	100	Gold|500		1		五雷正法	同时拥有5个带有不同真元技能的真元
Mystic_10CareerNew	10	100	Gold|500;item|9575|1;item|9694|1		1	1	十项全能	夺得过10个不同门派的新人王
Mystic_BigShare	1	50	Gold|100		1		大秤分狗头金	单次分红超过1000元宝
Mystic_SexChange	1	50	Gold|50		1		泰国之旅	更换1次自己的性别
Mystic_FourTimesRedBag	1	50	Gold|100		1	1	大大红包	第一次发三倍红包
Mystic_EightTimesRedBag	1	50	Gold|300		1	1	大大大红包	第一次发六倍红包
Mystic_BeatTeacher	1	50	Gold|50		1		青出于蓝	在英雄挑战中击败一次自己的师父
Mystic_FiveOK	31	50	Gold|200		1		五行轮转	体验过五行不同属性职业
Mystic_PeopleNetwork	1	50	Gold|100		1		枝繁叶茂	关系谱中没有空位
Mystic_ActDealerItems_10Times_1	1	50	Gold|100		1		奇货可居	西域行商中对同一物品出价至少10次成功拍得
Mystic_ActDealerItems_10Times_0	1	50	Gold|100		1		我是托	西域行商中对同一物品出价至少10次但未拍得
Mystic_ActDealerItems_Solucky	1	50	Gold|100		1		捡漏之王	在西域行商中以1黎饰的价格拍到一件物品
