nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
139	MainTask1_139	[主]不退反进	真是奇怪，莫非是月姑娘知道蔷薇姑娘喜欢杨兄，所以才掳走了蔷薇姑娘？可是……难道月姑娘也喜欢上了杨兄？	看看[FFFE0D]纳兰姑娘回来没有[-]	看看[FFFE0D]纳兰姑娘回来没有[-]	[url=pos:test,403,3030,8240]	[url=pos:test,403,3030,8240]	70|234	234	138	140				1					Exp|12000			1	1	[url=dialog:test, 6138]				498								
140	MainTask1_140	[主]掌上明珠	看起来铁云管家似乎有些着急，莫非是出了什么事？赶紧问问！	询问[FFFE0D]管家铁云[-]有什么事	询问[FFFE0D]管家铁云[-]有什么事	[url=clientnpcbyidx:test, 233]	[url=clientnpcbyidx:test, 233]	70|233|248	233	139	141	6139								Exp|12000			1	1													
141	MainTask1_141	[主]死而复生	这么着急到底是要去见谁？难道……卓非凡还没死？一切都是他的阴谋？不可能啊！当日杨兄分明已经……先去看看再说！	前往[FFFE0D]凌绝峰[-]赴约	前往[FFFE0D]凌绝峰[-]赴约	[url=goanddosomething:test, 498, 1800, 3000, gotofuben, 3, 4, 1]		70|234|248	234	140	142			3|4|1	1			1		Exp|90000			1	1													
142	MainTask1_142	[主]惊人之变	这……看来纳兰姑娘之前确实是和月姑娘一起，但是看起来她对月眉儿姑娘颇为友善，并不像是被抓走的样子，问问她是怎么回事！	询问[FFFE0D]纳兰真[-]怎么回事	询问[FFFE0D]纳兰真[-]怎么回事	[url=clientnpcbyidx:test, 85]	[url=clientnpcbyidx:test, 85]	70|85|248	85|248	141	143	134						1	1	Exp|12000;Item|1258|1			1	1													
143	MainTask1_143	[主]妙手神医	月姑娘身上的伤很重，恐怕只有胡神医才能就她！得赶紧将她送回忘忧岛才行！	带重伤的月眉儿找[FFFE0D]胡神医[-]	带重伤的月眉儿找[FFFE0D]胡神医[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	70|86|95	86|95	142	144	135	417							Exp|12000			1	1													
144	MainTask1_144	[主]有事相求	唉，先天功力……这世上恐怕除了那几位不知所踪的云游大侠以外，就只有孟知秋有这份功力了，希望他会愿意帮忙！	去找[FFFE0D]孟知秋[-]求助	去找[FFFE0D]孟知秋[-]求助	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103	103	143	145	136								Exp|12000			1	1	[url=dialog:test, 6136]												
145	MainTask1_145	[主]掌上明珠	想不到孟知秋竟然提出这种要求，看来他对掌上明珠的疼爱远胜其他，难怪蔷薇姑娘这么刁蛮，希望这次她能够深明大义帮我们一回！	去找[FFFE0D]蔷薇[-]求助	去找[FFFE0D]蔷薇[-]求助	[url=clientnpcbyidx:test, 79]	[url=clientnpcbyidx:test, 79]	70|79	79|	144	146	137								Exp|12000			1	1													
146	MainTask1_146	[主]应对之法	有蔷薇姑娘帮忙说话，孟知秋总不能这么不近人情，这次应该答应我们了吧？	再去求助[FFFE0D]孟知秋[-]	再去求助[FFFE0D]孟知秋[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|80|103	80|103	145	147	138								Exp|12000			1	1													
147	MainTask1_147	[主]静静等候	不知道里面的情况怎么样了，若是月眉儿没能成功救活，恐怕会成为杨兄一生的梦魇！	在一旁等候[FFFE0D]蔷薇[-]出来	在一旁等候[FFFE0D]蔷薇[-]出来	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|234	234	146	148				1	1	140			Exp|12000			1	1	[url=dialog:test, 139]												
148	MainTask1_148	[主]重返忘忧	幸好一切顺利，接下里只要为月姑娘找到银丝草就万事大吉了，希望纳兰姑娘已经找全了！	带月眉儿回去找[FFFE0D]纳兰真[-]	带月眉儿回去找[FFFE0D]纳兰真[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	70|76	70|76	147	149	140	418							Exp|12000			1	1													
149	MainTask1_149	[主]静候片刻	月眉儿姑娘性格坚强，一定能够成功闯过鬼门关，不过说起来还真奇怪，总觉得月姑娘和纳兰姑娘有一些相似，难道是我的错觉？	将药材交给[FFFE0D]胡神医[-]	将药材交给[FFFE0D]胡神医[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66	66	148	150	6140	417							Exp|12000			1	1													
150	MainTask1_150	[主]询问意图	纳兰姑娘怎么看起来心事重重的，问问她怎么回事。	问问[FFFE0D]纳兰姑娘[-]情况如何	问问[FFFE0D]纳兰姑娘[-]情况如何	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66|235	66	149	151	141	418							Exp|12000			1	1													
151	MainTask1_151	[主]少女身世	原来如此，月姑娘和纳兰姑娘竟然是同母异父的姐妹，难怪……不知道月姑娘的伤势怎么样了……	去看看[FFFE0D]月眉儿[-]	去看看[FFFE0D]月眉儿[-]	[url=clientnpcbyidx:test, 235]	[url=clientnpcbyidx:test, 235]	66|235	66	150	152	142								Exp|12000			1	1													
152	MainTask1_152	[主]前去迎接	奇怪，纳兰姑娘怎么去了这么久还没回来，莫非是遇见了什么意外？得赶紧去看看！	看看[FFFE0D]纳兰真[-]怎么还没回来	看看[FFFE0D]纳兰真[-]怎么还没回来	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|235		151	153				1	1	144			Exp|12000			1	1	[url=dialog:test, 143]												Task_2
153	MainTask1_153	[主]奸佞小人	纳兰姑娘竟然被打伤了！看起来伤势不重，得问问到底是谁下的手！	问问[FFFE0D]纳兰真[-]发生了什么事	问问[FFFE0D]纳兰真[-]发生了什么事	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66|235		152	154	144	418							Exp|12000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_03"]												
154	MainTask1_154	[主]败絮其中	想不到孟知秋竟然这么卑鄙无耻！为了「武道德经」竟然对一个弱质女流下手！我定要讨回公道！	质问[FFFE0D]孟知秋[-]为何伤纳兰真	质问[FFFE0D]孟知秋[-]为何伤纳兰真	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|100|103	100|103|235	153	155	145								Exp|12000			1	1													
155	MainTask1_155	[主]探访真相	天星道长是武林公认的正派领袖，有他作证的话一定假不了，不管如何，先去找天星道长问个明白吧！	寻找[FFFE0D]天星道长[-]问个明白	寻找[FFFE0D]天星道长[-]问个明白	[url=clientnpcbyidx:test, 101]	[url=clientnpcbyidx:test, 101]	70|78|101|104	101|104	154	156	146								Exp|12000			1	1													
156	MainTask1_156	[主]扑朔迷离	唉，此事真是扑朔迷离，先回忘忧岛看看纳兰姑娘的伤势，顺便问问看有没有其他线索吧。	[FFFE0D]回忘忧岛[-]看看纳兰真	[FFFE0D]回忘忧岛[-]看看纳兰真	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|78|102|109	102	155	157				1	1	148			Exp|12000			1	1	[url=dialog:test, 147]												
157	MainTask1_157	[主]无心插柳	奇怪，紫轩姑娘怎么会出现在此处？去问问她发生了什么事！	询问[FFFE0D]紫轩[-]为什么会在这里	询问[FFFE0D]紫轩[-]为什么会在这里	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|78|92|109		156	158				1	1	149			Exp|12000			1	1	[url=dialog:test, 148]												
158	MainTask1_158	[主]老谋深算	想不到竟然是这样……纳兰岛主竟然是一个这么有野心的人……不知道杨兄打算怎么办。	先回[FFFE0D]忘忧岛[-]看看	先回[FFFE0D]忘忧岛[-]看看	[url=pos:test,403,9450,3240]	[url=pos:test,403,9450,3240]	70|78|92|109	92	157	159				1					Exp|12000			1	1					1000								
159	MainTask1_159	[主]寻访真相	此事虽然听起来十分可信，但毕竟不是亲眼所见，理应前去无忧教禁地，看看真相到底是什么！	前往[FFFE0D]无忧教禁地[-]	前往[FFFE0D]无忧教禁地[-]	[url=pos:test,1000,8950,5150]	[url=pos:test,1000,8950,5150]	66|109		158	160				1		152			Exp|12000			1	1	[url=dialog:test, 151]				495								
160	MainTask1_160	[主]无忧禁地	当时一别，如今已是过了许久，唉，我竟有物是人非之感，进去看看吧！	击退[FFFE0D]无忧护法[-]	击退[FFFE0D]无忧护法[-]	[url=npcanddosomething:test,1147,495,autofight,1]		66|109|239|240	66|109	159	161				1					Exp|48000	1147|3	1	1	1	[url=dialog:test,152]												
161	MainTask1_161	[主]英雄救美	她们应该就在无忧教禁地的深处，我得赶紧窗进入将她们就出来！	深入[FFFE0D]无忧教禁地[-]救出两女	深入[FFFE0D]无忧教禁地[-]救出两女	[url=goanddosomething:test,495,10000,5400,gotofuben,3,5,1]		239|240	239|240	160	162			3|5|1	1			1		Exp|90000			1	1													
162	MainTask1_162	[主]如何是好	功亏一篑，纳兰岛……纳兰潜凛果然是老谋深算！想不到他竟然是这样的人！问问杨兄接下来怎么办！	询问[FFFE0D]杨影枫[-]如何是好	询问[FFFE0D]杨影枫[-]如何是好	[url=clientnpcbyidx:test, 241]	[url=clientnpcbyidx:test, 241]	241	241	161	163	155						1	1	Exp|12000;Item|1033|1;ComposeValue|1|8			1	1													
163	MainTask1_163	[主]以退为进	杨兄说得对，我们还处在无忧教的大本营中，还是得先离开这儿，否则一会恐怕要脱身就难了！	先[FFFE0D]离开这儿[-]再说	先[FFFE0D]离开这儿[-]再说	[url=taskitem:test, $T]	[url=taskitem:test, $T]	242		162	164				1	1	157			Exp|12000			1	1	[url=dialog:test, 156]												
164	MainTask1_164	[主]二败无忧	不好！有埋伏！这些无忧教的人真是莫名其妙，明知道不可能留得住我们，却还是悍不畏死！真是可怕！	冲破[FFFE0D]无忧护法[-]埋伏	冲破[FFFE0D]无忧护法[-]埋伏	[url=npcanddosomething:test, 1147, 495, autofight, 1]		242		163	165				1					Exp|36000	1147|3	1	1	1	[url=dialog:test, 158]												
165	MainTask1_165	[主]无可奈何	可恶，这分明是陷阱，想要将我们引去后一网打尽，若是去，就正中他们下怀，但若是不去……她们又……唉！问问杨兄怎么办才好！	得赶紧[FFFE0D]离开这儿[-]	得赶紧[FFFE0D]离开这儿[-]	[url=pos:test,495,1500,5100]	[url=pos:test,495,1500,5100]	242	242	164	166				1					Exp|12000			1	1					403								
166	MainTask1_166	[主]求助于人	孟大侠乃是如今中原武林的领袖，若是有他帮忙，再集结一批武功高强的侠士，一定能彻底摧毁无忧教！	找[FFFE0D]孟知秋[-]帮忙	找[FFFE0D]孟知秋[-]帮忙	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103	103	165	167	159								Exp|12000			1	1													
167	MainTask1_167	[主]意外之变	想不到孟大侠竟然也……纳兰潜凛非但心狠手辣，而且行事迅速，决不手软，当真可怕！不过不管如何，都必须救出她们！	前往[FFFE0D]摘星楼[-]准备救人	前往[FFFE0D]摘星楼[-]准备救人	[url=pos:test,403,15430,11100]	[url=pos:test,403,15430,11100]	104	104	166	168				1					Exp|12000			1	1					496								
168	MainTask1_168	[主]无忧死士	不知道她们被囚禁在什么地方，这里面危机重重，得赶紧找到她们，反正也躲不掉，不如从这些人口中问出来好了！	击败[FFFE0D]无忧死士[-]	击败[FFFE0D]无忧死士[-]	[url=npcanddosomething:test, 1148, 496, autofight, 1]				167	169				1					Exp|36000	1148|3	1	1	1	[url=dialog:test, 161]												
169	MainTask1_169	[主]千里相救	想不到竟然在这里得知了紫轩姑娘被囚禁的消息，先把她救出来再说！	前往[FFFE0D]摘星楼深处[-]	前往[FFFE0D]摘星楼深处[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			168	170				1	1	163			Exp|12000			1	1													
170	MainTask1_170	[主]意料之外	真是奇怪，先前那些无忧教弟子悍不畏死，这些号称无忧教死士的人反而软弱胆小，算了，先救出紫轩再说吧！	营救被关押的[FFFE0D]紫轩[-]	营救被关押的[FFFE0D]紫轩[-]	[url=goanddosomething:test, 496, 9000, 10600, gotofuben, 3, 6, 1]				169	171			3|6|1	1			1		Exp|90000			1	1													
171	MainTask1_171	[主]询问行踪	紫轩看起来并没有受伤，只是有些虚弱，希望她知道纳兰姑娘和月姑娘在哪儿！	询问[FFFE0D]紫轩[-]她们在哪里	询问[FFFE0D]紫轩[-]她们在哪里	[url=clientnpcbyidx:test, 243]	[url=clientnpcbyidx:test, 243]	243	243	170	172	164						1	1	Exp|12000;Item|1093|1			1	1													
172	MainTask1_172	[主]护花使者	刚跳出一个陷阱，接下来恐怕又要跳入另一个陷阱里了，希望这次也能够成功将她们救出吧！	先送[FFFE0D]紫轩[-]离开这里	先送[FFFE0D]紫轩[-]离开这里	[url=taskitem:test, $T]	[url=taskitem:test, $T]	244	244	171	173				1	1	166			Exp|12000			1	1	[url=dialog:test, 165]												
173	MainTask1_173	[主]四处奔波	想不到天下三大势力「飞龙堡」、「藏剑山庄」、「悲魔山庄」被无忧教以一己之力攻占，纳兰潜凛潜伏了这么久，爆发起来当真可怕！	前往[FFFE0D]飞龙堡[-]看看	前往[FFFE0D]飞龙堡[-]看看	[url=pos:test,496,1080,3700]	[url=pos:test,496,1080,3700]	245|258	245	172	174				1					Exp|12000			1	1	[url=dialog:test, 166]				497								
174	MainTask1_174	[主]柳暗花明	这附近有不少敌人巡逻，咦？前方似乎有些骚动，不少无忧教的人在往那个方向聚集，发生什么事了？	击败[FFFE0D]无忧精锐[-]救人	击败[FFFE0D]无忧精锐[-]救人	[url=npcanddosomething:test, 1248, 497, autofight, 1]		258		173	175				1					Exp|36000	1248|6	1	1	1	[url=dialog:test, 167]												
175	MainTask1_175	[主]事出有因	是月眉儿姑娘！她竟然在这里！她是怎么逃出来的？不行，先救下她再说！	询问[FFFE0D]月眉儿[-]怎么会在这里	询问[FFFE0D]月眉儿[-]怎么会在这里	[url=clientnpcbyidx:test, 118]	[url=clientnpcbyidx:test, 118]	118|258	118	174	176	168								Exp|12000			1	1													
176	MainTask1_176	[主]壮士赴死	原来蔷薇姑娘也被抓了来，飞龙堡核心区守卫森严，要小心为上！	去[FFFE0D]飞龙堡核心区[-]营救蔷薇	去[FFFE0D]飞龙堡核心区[-]营救蔷薇	[url=goanddosomething:test, 497, 8100, 6900, gotofuben, 3, 7, 1]		155|258	155	175	177			3|7|1	1			1		Exp|90000			1	1													
177	MainTask1_177	[主]掌上明珠	蔷薇姑娘看上去脸色十分苍白，该不会是他们对蔷薇姑娘做了什么？赶紧去看看她怎么样了！	问问[FFFE0D]蔷薇[-]怎么样了	问问[FFFE0D]蔷薇[-]怎么样了	[url=clientnpcbyidx:test, 119]	[url=clientnpcbyidx:test, 119]	119|258	119	176	178	170								Exp|12000;Item|212|5			1	1													
178	MainTask1_178	[主]叶落无声	唉，若是蔷薇姑娘见到了如今落叶谷的模样，恐怕……但是孟大侠已死，总得让她去见见尽尽孝道。	带蔷薇回[FFFE0D]孟知秋的住所[-]	带蔷薇回[FFFE0D]孟知秋的住所[-]	[url=pos:test,497,6550,9100]	[url=pos:test,497,6550,9100]	70|80|110|247|258	110|247|258	177	179				1					Exp|12000			1	1	[url=dialog:test, 171]				403								
179	MainTask1_179	[主]神医妙手	蔷薇姑娘竟然身中剧毒！难怪脸色如此苍白，希望胡神医有办法化解这种剧毒！	前往忘忧岛寻找[FFFE0D]胡神医[-]	前往忘忧岛寻找[FFFE0D]胡神医[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66|70|80|109		178	180	172	417							Exp|12000			1	1													
180	MainTask1_180	[主]红尘旧事	想不到连胡神医都束手无策……看来蔷薇姑娘真的是凶多吉少了……完成她最后的心愿吧……	带蔷薇[FFFE0D]四处走走[-]	带蔷薇[FFFE0D]四处走走[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|70|80|109	66|109	179	181				1	1	174			Exp|12000			1	1	[url=dialog:test, 173]												
181	MainTask1_181	[主]再回悲魔	蔷薇姑娘最后的一些日子，就让她在悲魔山庄好生度过吧，唉，这些日子以来，也没有纳兰姑娘的消息……不知道她怎么样了。	带蔷薇[FFFE0D]回悲魔山庄[-]	带蔷薇[FFFE0D]回悲魔山庄[-]	[url=pos:test,403,3030,8240]	[url=pos:test,403,3030,8240]	70|80|110	70|80|110	180	182				1					Exp|12000			1	1	[url=dialog:test, 174]				498								
182	MainTask1_182	[主]命悬一线	唉，蔷薇姑娘剩下的日子不多了，可是纳兰姑娘如今也身处险境……这可如何是好？	带蔷薇[FFFE0D]去厢房休息[-]	带蔷薇[FFFE0D]去厢房休息[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	42|110|248		181	183				1	1	175			Exp|12000			1	1													
183	MainTask1_183	[主]千钧一发	真儿怎么会在这里？不知道她能不能救回……唉，连胡神医都束手无策，恐怕……	询问[FFFE0D]纳兰真[-]怎么会在这	询问[FFFE0D]纳兰真[-]怎么会在这	[url=clientnpcbyidx:test, 42]	[url=clientnpcbyidx:test, 42]	42|110|248	42|110	182	184	175								Exp|12000			1	1													
184	MainTask1_184	[主]冰雪聪明	这……纳兰姑娘怎么会出现在悲魔山庄？问问她先前是怎么回事！	到旁边等待[FFFE0D]纳兰真[-]出来	到旁边等待[FFFE0D]纳兰真[-]出来	[url=taskitem:test, $T]	[url=taskitem:test, $T]	248|249|250	249|250	183	185				1	1	177			Exp|12000			1	1	[url=dialog:test, 176]												
185	MainTask1_185	[主]一心多用	真不知该说上苍有眼，还是该说纳兰姑娘冰雪聪明，蔷薇姑娘总算是有救了。也该去寒波谷把月姑娘和紫轩姑娘接回来了。	去[FFFE0D]寒波谷[-]接紫轩和月眉儿	去[FFFE0D]寒波谷[-]接紫轩和月眉儿	[url=clientnpcbyidx:test, 112]	[url=clientnpcbyidx:test, 112]	111|112|251	111|112|251	184	186	177								Exp|12000			1	1													
186	MainTask1_186	[主]众人团圆	咳咳，这一下悲魔山庄四美齐聚，不知道杨兄以后做什么打算……哈哈哈，看来他是难逃一劫了！	带两人一起[FFFE0D]回悲魔山庄[-]	带两人一起[FFFE0D]回悲魔山庄[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	107|108|113|114|116|117|182	107|108|113|114|116|117|182	185	187				1	1	179			Exp|12000			1	1	[url=dialog:test, 178]												
187	MainTask1_187	[主]无忧教主	纳兰潜凛！一切阴谋的主导者，一切祸害的根源，今日我就要和杨兄联手将你除去！	与纳兰潜凛[FFFE0D]最终对决[-]	与纳兰潜凛[FFFE0D]最终对决[-]	[url=goanddosomething:test, 498, 4570, 3050, gotofuben, 3, 8, 1]		107|108|113|114|115|116|117	107|108|113|114|115|116|117	186	188			3|8|1	1			1		Exp|120000			1	1	[url=scenesound:test, 16]												Task_3
188	MainTask1_188	[主]悲魔剑圣	事情总算告一段落了，如今江湖又回归太平，听闻曾经有一位大侠名叫独孤剑，武功绝世，心怀家国大义，我想去了解一下他的事迹，就在此与杨兄告别吧！	跟[FFFE0D]杨影枫[-]道别	跟[FFFE0D]杨影枫[-]道别	[url=clientnpcbyidx:test, 252]	[url=clientnpcbyidx:test, 252]	251|252|254|255|256|257	252	187	189	180						1	1	Exp|24000;Item|1043|1;ComposeValue|1|9			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_04"]												
189	MainTask1_189	[主]公孙惜花	临安城中消息众多，去那儿打听打听，看看有没有独孤大侠的消息，对了！不知道老板娘那儿是否有消息！	先将等级提升到[FFFE0D]30[-]级	前去[FFFE0D]临安城[-]打听武林大事	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]	251|253|254|255|256|257	251|253|254|255|256|257	188	190	181	99							Exp|32000			1	1						30							Task_4
190	MainTask1_190	[主]衡山卢青	自从数年前张姑娘战死沙场，独孤大侠隐居江湖后，衡山剑派已是渐渐式微，如今更是不复存在，去见见卢师兄吧！	拜访[FFFE0D]卢青[-]了解独孤剑事迹	拜访[FFFE0D]卢青[-]了解独孤剑事迹	[url=clientnpcbyidx:test, 121]	[url=clientnpcbyidx:test, 121]	121	121	189	191	182								Exp|32000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_05"]												
191	MainTask1_191	[主]昔日血书	卢师兄看起来气度不凡，看不出武功深浅，隐隐有一派宗师的风范，当年的事件让我越来越感兴趣了！	跟[FFFE0D]卢青[-]去看当年事发之地	跟[FFFE0D]卢青[-]去看当年事发之地	[url=pos:test, 404, 2250, 6950]	[url=pos:test, 404, 2250, 6950]	122		190	192				1					Exp|24000			1	1					486								
192	MainTask1_192	[主]前尘旧事	衡山剑派如今已不复存在，当年若非刘老前辈在此处遇袭，也不会……唉，五色教当真可恶！	询问[FFFE0D]卢青[-]当年之事	询问[FFFE0D]卢青[-]当年之事	[url=clientnpcbyidx:test, 123]	[url=clientnpcbyidx:test, 123]	122|123	123	191	193	184								Exp|32000			1	1													
193	MainTask1_193	[主]剑诛五色	总算要提及正文了，当年刘老前辈是武林中屈指可数的一流高手，突然离世，武林为之震惊，不知道其中到底发生了什么！	跟随卢青的回忆[FFFE0D]追朔当年[-]	跟随卢青的回忆[FFFE0D]追朔当年[-]	[url=pos:test, 486, 2100, 3000]	[url=pos:test, 486, 2250, 6950]	124	124	192	194			4|1|1	1			1		Exp|120000			1	1													
194	MainTask1_194	[主]施礼道谢	原来如此，独孤大侠年级如此之轻，竟然就已经接任了衡山派掌门，且以一人之力击败了五色教刺客！真令人敬佩！	向[FFFE0D]卢青[-]道谢	向[FFFE0D]卢青[-]道谢	[url=clientnpcbyidx:test, 189]	[url=clientnpcbyidx:test, 189]	189	189	193	195	186						1	1	Exp|24000;Item|1083|1;Item|9697|1			1	1													
195	MainTask1_195	[主]武夷旧事	武夷剑派如今也已没落，门下弟子恐怕已是不足百人，当年柳中原老前辈被暗算后，连武功都未曾传下，唉。	准备动身前往[FFFE0D]武夷派[-]	准备动身前往[FFFE0D]武夷派[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	190|126	190|126	194	196				1	1	188			Exp|32000			1	1													
196	MainTask1_196	[主]投石问路	从这儿到武夷剑派还有一段距离，不知道附近有没有人知道该如何前往。	询问[FFFE0D]樵夫[-]该往哪走	询问[FFFE0D]樵夫[-]该往哪走	[url=clientnpcbyidx:test, 125]	[url=clientnpcbyidx:test, 125]	125	125	195	197	188								Exp|32000			1	1													
197	MainTask1_197	[主]九猴秘洞	原来此处便是九猴洞的入口，听闻当年想入武夷剑派者，都必须闯过九猴洞，进去看看！	到[FFFE0D]九猴洞口[-]看看	到[FFFE0D]九猴洞口[-]看看	[url=pos:test,404,14250,4100]	[url=pos:test,404,14250,4100]	126	126	196	198				1					Exp|24000			1	1	[url=pos:test,487,2200,3600]				487								
198	MainTask1_198	[主]恶猴拦路	据说洞中的猴子机敏狡猾，很不好对付，我倒要看看有多厉害！	闯过[FFFE0D]九猴洞[-]	闯过[FFFE0D]九猴洞[-]	[url=pos:test, 487, 2100, 5600]		126	126	197	199			4|2|1	1			1		Exp|120000			1	1													
199	MainTask1_199	[主]前尘旧事	总算是闯过了九猴洞，此处倒真是一处锻炼身手的好地方，只可惜武夷剑派，唉……	询问[FFFE0D]武夷派弟子[-]前尘旧事	询问[FFFE0D]武夷派弟子[-]前尘旧事	[url=clientnpcbyidx:test, 127]	[url=clientnpcbyidx:test, 127]	127	127	198	200	191								Exp|16000			1	1													
200	MainTask1_200	[主]返回临安	真是不凑巧，掌门竟然不在，看来这回只能白跑一趟了，先回临安城看看有没有别的消息吧。	先将等级提升到[FFFE0D]33[-]级	前往临安城询问[FFFE0D]酒楼老板[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]	128	128	199	201	192	99					1	1	Exp|32000;Item|1053|1			1	1						33							
201	MainTask1_201	[主]周家木匠	当年独孤大侠行侠仗义救下了不少人，找他们问问也许能够更了解独孤大侠，不过……想不到独孤大侠还当过月老啊……	准备[FFFE0D]去看看[-]周木匠一家	准备[FFFE0D]去看看[-]周木匠一家	[url=taskitem:test, $T]	[url=taskitem:test, $T]	132		200	202				1	1	194			Exp|24000			1	1	[url=dialog:test, 193]												
202	MainTask1_202	[主]出手相助	真是胆大包天！光天化日之下竟然强抢姑娘！看我不收拾你们！	击败[FFFE0D]流氓[-]救下少女	击败[FFFE0D]流氓[-]救下少女	[url=npcanddosomething:test, 1013, 404, autofight, 1]		132	132	201	203				1					Exp|80000	1013|3	1	1	1													
203	MainTask1_203	[主]始料未及	这少女倒是颇为俏丽，难怪引得这些流氓的色心，只是不知道她为何一人在这！	问问[FFFE0D]少女[-]有没有受伤	问问[FFFE0D]少女[-]有没有受伤	[url=clientnpcbyidx:test, 131]	[url=clientnpcbyidx:test, 131]	131	131	202	204	195								Exp|32000			1	1													
204	MainTask1_204	[主]一探究竟	我总觉得不远的地方有人在窥视，不行，我得去探个究竟！	总觉得[FFFE0D]不远处[-]有人在窥视	总觉得[FFFE0D]不远处[-]有人在窥视	[url=taskitem:test, $T]	[url=taskitem:test, $T]	132	132	203	205				1	1	197			Exp|24000			1	1	[url=dialog:test, 196]												
205	MainTask1_205	[主]继续探访	奇怪，我分明感觉到刚才有人，怎么这么快就不见了？难道他也察觉到我了？	还是早点[FFFE0D]去周木匠家[-]吧	还是早点[FFFE0D]去周木匠家[-]吧	[url=clientnpcbyidx:test, 135]	[url=clientnpcbyidx:test, 135]	133|134|135	135	204	206	197								Exp|32000			1	1													
206	MainTask1_206	[主]重返临安	周木匠和赵七娘如今生活安好，生了个公子，若是独孤大侠知道，想必心里也会感到十分安慰。	离开这里回去找[FFFE0D]酒楼老板[-]	离开这里回去找[FFFE0D]酒楼老板[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	133|134|136|137	133|134|136	205	207				1	1	199			Exp|24000			1	1	[url=dialog:test, 198]												
207	MainTask1_207	[主]路见不平	咦，前方有一个青年在和一群匪气很重的人发生了争执，去看看是怎么回事！	询问[FFFE0D]青年[-]发生了什么事	询问[FFFE0D]青年[-]发生了什么事	[url=clientnpcbyidx:test, 137]	[url=clientnpcbyidx:test, 137]	137	137	206	208	199								Exp|32000			1	1													
208	MainTask1_208	[主]家传宝玉	此处怎地如此无法无天，前有掠夺姑娘，后有强抢他人财物！我倒要看看究竟是什么样的恶党！	[FFFE0D]前去讨回[-]剑云的家传宝玉	[FFFE0D]前去讨回[-]剑云的家传宝玉	[url=taskitem:test, $T]	[url=taskitem:test, $T]	138		207	209				1	1	201			Exp|24000			1	1	[url=dialog:test, 200]												
209	MainTask1_209	[主]光天化日	好大的口气！这些贼匪看来是平日里嚣张惯了，竟如此霸道，我倒要看看他们有什么本事！	教训教训这些[FFFE0D]贼匪[-]	教训教训这些[FFFE0D]贼匪[-]	[url=npcanddosomething:test, 1187, 404, autofight, 1]		138		208	210				1					Exp|64000;Item|212|5	1187|3	1	1	1	[url=dialog:test, 201]												
210	MainTask1_210	[主]牛刀小试	看不出来这个贼匪头子还挺有自信的，手下都被我收拾了竟然还不逃，让我来领教领教你的高招！	夺回[FFFE0D]头目[-]手中宝玉	夺回[FFFE0D]头目[-]手中宝玉	[url=npcanddosomething:test, 1188, 404, autofight, 1]		138	138	209	211				1					Exp|64000	1188|1	1	1	1													
